brand;Social Perception Score Eco-Friendliness;Social Perception Score Luxury;Social Perception Score Nutrition;Survey Score Eco-Friendliness;Survey Score Luxury;Survey Score Nutrition;Sector;Brand Name;Brand Text
Nordstrom;0.014281200;0.043985100;0.010048700;2.404958678;3.489051095;;apparel;Nordstrom;Nordstrom
Oceansprayinc;0.019536900;0.022489900;0.038853600;2.876923077;;2.903614458;food;Ocean Spray;OSpray
Oldnavy;0.012789400;0.025899000;0.010149200;2.652985075;1.688135593;;apparel;Old Navy;ONavy
Oldspice;0.012118100;0.017443100;0.006673930;2.072847682;;;personal_care;Old Spice;OSpice
Oreo;0.011571500;0.020477700;0.007676320;1.831460674;;1.196172249;food;Oreo;Oreo
Organicvalley;0.049661700;0.024091600;0.050199900;4.021929825;;3.989436620;food;Organic Valley;OValley
Oscarmayer;0.015985000;0.017555100;0.017871900;1.954372624;;1.910714286;food;Oscar Mayer;OMayer
Pantene;0.014602800;0.029950500;0.010826200;2.378839590;;;personal_care;Pantene;Pantene
Paulmitchellus;0.013800000;0.030153600;0.009023610;2.567765568;;;personal_care;Paul Mitchell;PM
Pepperidgefarm;0.024208400;0.029839300;0.047876100;2.568093385;;2.129518072;food;Pepperidge Farm;PFarm
Pepsi;0.009968400;0.017164400;0.004368340;1.880149813;;1.190615836;food;Pepsi;Pepsi
Pillsbury;0.017813600;0.026012200;0.022796100;2.287356322;;1.887905605;food;Pillsbury;Pillsbury
Pontiac;0.009634040;0.016450200;0.004908920;2.194244604;1.972826087;;car;Pontiac;Pontiac
Porsche;0.012663200;0.034157900;0.004753620;1.870588235;4.552560647;;car;Porsche;Porsche
Powerade;0.011661200;0.017711300;0.008983480;2.112840467;;2.111111111;food;Powerade;Power
Proactiv;0.011064300;0.017165300;0.008205560;2.306122449;;;personal_care;Proactiv;Proactiv
Puma;0.009303210;0.019790700;0.005979200;2.546511628;2.318493151;;apparel;Puma;Puma
Ralphlauren;0.011674900;0.040591500;0.004943710;2.411538462;3.665529010;;apparel;Ralph Lauren;RLauren
Realcapncrunch;0.016816300;0.018198900;0.010835500;1.949806950;;1.504854369;food;Cap'n Crunch;CCrunch
Redbull;0.010063000;0.018713000;0.004178380;1.750000000;;1.205741627;food;Redbull;RB
Redken5thave;0.011226900;0.033927100;0.009806320;2.400943396;;;personal_care;Redken;Redken
Reebok;0.010830500;0.019550900;0.014779200;2.411985019;2.034013605;;apparel;Reebok;Reebok
Rollsroycecars;0.013495200;0.044448600;0.004957100;1.834928230;4.897297297;;car;Rolls Royce;RR
Ruffles;0.014671600;0.020443200;0.008689670;1.922178988;;1.400966184;food;Ruffles;Ruffles
Saraleedesserts;0.016601400;0.026290800;0.020436800;2.227091633;;;food;Sara Lee Desserts;Sdessert
Scion;0.016670700;0.030473300;0.007435050;2.960396040;2.026162791;;car;Scion;Scion
Skippy;0.005976120;0.009867060;0.020262200;2.388888889;;;food;Skippy;Skippy
Skittles;0.010323300;0.017831700;0.006739290;1.729007634;;1.120943953;food;Skittles;Skittl
Smartcarusa;0.027415600;0.025948000;0.011121200;4.276712329;2.068493151;;car;Smart;Smart
Smuckers;0.018680300;0.019400300;0.022129700;2.583011583;;2.325123153;food;Smuckers;Smuck
Snapple;0.016241500;0.024947500;0.016657900;2.833333333;;2.334951456;food;Snapple;Snapple
Snickers;0.012392200;0.021223600;0.010304600;1.856603774;;1.227138643;food;Snickers;Snickers
Specialkus;0.016493400;0.019186700;0.030026700;2.875471698;;3.485576923;food;Special K;SpecK
Sprite;0.010579900;0.017560500;0.006065610;2.041509434;;1.297058824;food;Sprite;Sprite
Starburst;0.010747400;0.017632500;0.005385530;1.836501901;;1.201923077;food;Starburst;Starburst
Stouffers;0.015987600;0.023970600;0.022144800;2.082987552;;2.075709779;food;Stouffers;Stouffers
Suavebeauty;0.016658600;0.026888700;0.018005300;2.325581395;;;personal_care;Suave Beauty;SBeauty
Subaru_usa;0.017550800;0.027451900;0.006845110;3.011876485;2.274193548;;car;Subaru;Subaru
Sunchips;0.017128500;0.024650600;0.016600700;3.153256705;;2.654654655;food;Sunchips;Sunchips
Teslamotors;0.033335100;0.028058000;0.007417810;4.246073298;4.003144654;;car;Tesla;Tesla
Thenorthface;0.025103500;0.023804700;0.010894800;3.468468468;2.872509960;;apparel;The North Face;NorthFace
Therealtriscuit;0.020940700;0.013621700;0.030023600;2.704280156;;2.954128440;food;Triscuit;Triscuit
Thisisgmc;0.016659600;0.028713900;0.006877960;2.227817746;2.000000000;;car;GMC;GMC
Timberland;0.028358800;0.025407500;0.010126100;2.960317460;2.516363636;;apparel;Timberland;Timberland
Toyota;0.018643400;0.027928000;0.006527570;3.518867925;2.163538874;;car;Toyota;Toyota
Tresemme;0.012023000;0.029591400;0.010252600;2.315018315;;;personal_care;TRESemme;TRE
Vans_66;0.007908890;0.016524300;0.003613390;2.782786885;1.981203008;;apparel;Vans;Vans
Vaselinebrand;0.014328600;0.022884600;0.017082800;2.422950820;;;personal_care;Vaseline;Vas
Verawanggang;0.011197000;0.044677000;0.005058230;2.295774648;4.332031250;;apparel;Vera Wang;VWang
Versace;0.010276500;0.035840200;0.003865950;2.090128755;4.784386617;;apparel;Versace;Versace
Vo5;0.008157140;0.016338300;0.005879190;2.109433962;;;personal_care;VO5;VO5
Volvocarsus;0.018135200;0.033155600;0.007418830;2.969339623;2.766756032;;car;Volvo;Volvo
Wheatthins;0.012486800;0.018518300;0.012381600;2.803088803;;2.994029851;food;Wheat Thins;WThins
Wranglerwestern;0.011097400;0.012714800;0.007252990;2.675675676;1.636363636;;apparel;Wrangler;Wrang
Yoplait;0.017254300;0.023589000;0.029951700;2.923954373;;3.317507418;food;Yoplait;Yoplait
