brand;Social Perception Score Eco-Friendliness;Social Perception Score Luxury;Social Perception Score Nutrition;Survey Score Eco-Friendliness;Survey Score Luxury;Survey Score Nutrition;Sector;Brand Name;Brand Text
Maserati_hq;0.0140519;0.0380724;0.00494331;17.925;4.711.864.407;;car;Maserati;Maserati
Mazdausa;0.017866;0.0303009;0.00689094;2.832.941.176;2.188.172.043;;car;Mazda;Mazda
Mercedesbenz;0.0116723;0.0297396;0.00419843;2.303.529.412;4.126.005.362;;car;Mercedes;Mbenz
Miniusa;0.016363;0.0322075;0.00713506;3.230.379.747;2.556.851.312;;car;Mini;Mini
Miraclewhip;0.0146389;0.0169683;0.0150603;2.042.471.042;;1.623.188.406;food;Miracle Whip;MWhip
Mitsucars;0.0158626;0.0291586;0.00560454;2.634.204.276;2.194.594.595;;car;Mitsubishi;Mitsu
Monsterenergy;0.00474189;0.0131294;0.00180848;1.686.507.937;;1.172.205.438;food;Monster;Monster
Motts;0.0228788;0.0293685;0.0353121;2.875;;3.198.757.764;food;Motts;Motts
Nakedjuice;0.0170424;0.0194461;0.0223515;3.747.826.087;;3.753.424.658;food;Naked Juice;NJuice
Naturespath;0.0454254;0.0243852;0.0546126;3.816.901.408;;3.758.474.576;food;Natures Path;NatPath
Naturevalley;0.0293119;0.0221536;0.0275613;3.475.471.698;;3.485.294.118;food;Nature Valley;NatValley
Nautica;0.0147899;0.0325751;0.00780283;2.643.724.696;2.763.157.895;;apparel;Nautica;Nautica
Nestle;0.0177366;0.022268;0.0192959;2.262.172.285;;1.717.703.349;food;Nestle;Nestle
Nikestore;0.0067937;0.0126056;0.00446892;2.460.966.543;2.531.986.532;;apparel;Nike;Nike
Nissanusa;0.015886;0.0259483;0.0060458;3.025.882.353;2.292.225.201;;car;Nissan;Nissan
Nordstrom;0.0142812;0.0439851;0.0100487;2.404.958.678;3.489.051.095;;apparel;Nordstrom;Nordstrom
Oceansprayinc;0.0195369;0.0224899;0.0388536;2.876.923.077;;2.903.614.458;food;Ocean Spray;OSpray
Oldnavy;0.0127894;0.025899;0.0101492;2.652.985.075;1.688.135.593;;apparel;Old Navy;ONavy
Oldspice;0.0121181;0.0174431;0.00667393;2.072.847.682;;;personal_care;Old Spice;OSpice
Oreo;0.0115715;0.0204777;0.00767632;1.831.460.674;;1.196.172.249;food;Oreo;Oreo
Organicvalley;0.0496617;0.0240916;0.0501999;4.021.929.825;;398.943.662;food;Organic Valley;OValley
Oscarmayer;0.015985;0.0175551;0.0178719;1.954.372.624;;1.910.714.286;food;Oscar Mayer;OMayer
Pantene;0.0146028;0.0299505;0.0108262;237.883.959;;;personal_care;Pantene;Pantene
Paulmitchellus;0.0138;0.0301536;0.00902361;2.567.765.568;;;personal_care;Paul Mitchell;PM
Pepperidgefarm;0.0242084;0.0298393;0.0478761;2.568.093.385;;2.129.518.072;food;Pepperidge Farm;PFarm
Pepsi;0.0099684;0.0171644;0.00436834;1.880.149.813;;1.190.615.836;food;Pepsi;Pepsi
Pillsbury;0.0178136;0.0260122;0.0227961;2.287.356.322;;1.887.905.605;food;Pillsbury;Pillsbury
Pontiac;0.00963404;0.0164502;0.00490892;2.194.244.604;1.972.826.087;;car;Pontiac;Pontiac
Porsche;0.0126632;0.0341579;0.00475362;1.870.588.235;4.552.560.647;;car;Porsche;Porsche
Powerade;0.0116612;0.0177113;0.00898348;2.112.840.467;;2.111.111.111;food;Powerade;Power
Proactiv;0.0110643;0.0171653;0.00820556;2.306.122.449;;;personal_care;Proactiv;Proactiv
Puma;0.00930321;0.0197907;0.0059792;2.546.511.628;2.318.493.151;;apparel;Puma;Puma
Ralphlauren;0.0116749;0.0405915;0.00494371;2.411.538.462;366.552.901;;apparel;Ralph Lauren;RLauren
Realcapncrunch;0.0168163;0.0181989;0.0108355;194.980.695;;1.504.854.369;food;Cap'n Crunch;CCrunch
Redbull;0.010063;0.018713;0.00417838;Jan 75;;1.205.741.627;food;Redbull;RB
Redken5thave;0.0112269;0.0339271;0.00980632;2.400.943.396;;;personal_care;Redken;Redken
Reebok;0.0108305;0.0195509;0.0147792;2.411.985.019;2.034.013.605;;apparel;Reebok;Reebok
Rollsroycecars;0.0134952;0.0444486;0.0049571;183.492.823;4.897.297.297;;car;Rolls Royce;RR
Ruffles;0.0146716;0.0204432;0.00868967;1.922.178.988;;1.400.966.184;food;Ruffles;Ruffles
Saraleedesserts;0.0166014;0.0262908;0.0204368;2.227.091.633;;;food;Sara Lee Desserts;Sdessert
Scion;0.0166707;0.0304733;0.00743505;296.039.604;2.026.162.791;;car;Scion;Scion
Skippy;0.00597612;0.00986706;0.0202622;2.388.888.889;;;food;Skippy;Skippy
Skittles;0.0103233;0.0178317;0.00673929;1.729.007.634;;1.120.943.953;food;Skittles;Skittl
Smartcarusa;0.0274156;0.025948;0.0111212;4.276.712.329;2.068.493.151;;car;Smart;Smart
Smuckers;0.0186803;0.0194003;0.0221297;2.583.011.583;;2.325.123.153;food;Smuckers;Smuck
Snapple;0.0162415;0.0249475;0.0166579;2.833.333.333;;2.334.951.456;food;Snapple;Snapple
Snickers;0.0123922;0.0212236;0.0103046;1.856.603.774;;1.227.138.643;food;Snickers;Snickers
Specialkus;0.0164934;0.0191867;0.0300267;2.875.471.698;;3.485.576.923;food;Special K;SpecK
Sprite;0.0105799;0.0175605;0.00606561;2.041.509.434;;1.297.058.824;food;Sprite;Sprite
Starburst;0.0107474;0.0176325;0.00538553;1.836.501.901;;1.201.923.077;food;Starburst;Starburst
Stouffers;0.0159876;0.0239706;0.0221448;2.082.987.552;;2.075.709.779;food;Stouffers;Stouffers
Suavebeauty;0.0166586;0.0268887;0.0180053;2.325.581.395;;;personal_care;Suave Beauty;SBeauty
Subaru_usa;0.0175508;0.0274519;0.00684511;3.011.876.485;2.274.193.548;;car;Subaru;Subaru
Sunchips;0.0171285;0.0246506;0.0166007;3.153.256.705;;2.654.654.655;food;Sunchips;Sunchips
Teslamotors;0.0333351;0.028058;0.00741781;4.246.073.298;4.003.144.654;;car;Tesla;Tesla
Thenorthface;0.0251035;0.0238047;0.0108948;3.468.468.468;287.250.996;;apparel;The North Face;NorthFace
Therealtriscuit;0.0209407;0.0136217;0.0300236;2.704.280.156;;295.412.844;food;Triscuit;Triscuit
Thisisgmc;0.0166596;0.0287139;0.00687796;2.227.817.746;2.0;;car;GMC;GMC
Timberland;0.0283588;0.0254075;0.0101261;296.031.746;2.516.363.636;;apparel;Timberland;Timberland
Toyota;0.0186434;0.027928;0.00652757;3.518.867.925;2.163.538.874;;car;Toyota;Toyota
Tresemme;0.012023;0.0295914;0.0102526;2.315.018.315;;;personal_care;TRESemme;TRE
Vans_66;0.00790889;0.0165243;0.00361339;2.782.786.885;1.981.203.008;;apparel;Vans;Vans
Vaselinebrand;0.0143286;0.0228846;0.0170828;242.295.082;;;personal_care;Vaseline;Vas
Verawanggang;0.011197;0.044677;0.00505823;2.295.774.648;433.203.125;;apparel;Vera Wang;VWang
Versace;0.0102765;0.0358402;0.00386595;2.090.128.755;4.784.386.617;;apparel;Versace;Versace
Vo5;0.00815714;0.0163383;0.00587919;2.109.433.962;;;personal_care;VO5;VO5
Volvocarsus;0.0181352;0.0331556;0.00741883;2.969.339.623;2.766.756.032;;car;Volvo;Volvo
Wheatthins;0.0124868;0.0185183;0.0123816;2.803.088.803;;2.994.029.851;food;Wheat Thins;WThins
Wranglerwestern;0.0110974;0.0127148;0.00725299;2.675.675.676;1.636.363.636;;apparel;Wrangler;Wrang
Yoplait;0.0172543;0.023589;0.0299517;2.923.954.373;;3.317.507.418;food;Yoplait;Yoplait
