brand,Date,stocktwits_count
Nike,2020-09-23,868
Nike,2020-09-24,310
Nike,2020-09-25,134
Nike,2020-09-26,30
Nike,2020-09-27,10
Nike,2020-09-28,42
Nike,2020-09-29,56
Nike,2020-09-30,43
Nike,2020-10-01,21
Nike,2020-10-02,23
Nike,2020-10-03,16
Nike,2020-10-04,8
Nike,2020-10-05,31
Nike,2020-10-06,38
Nike,2020-10-07,33
Nike,2020-10-08,53
Nike,2020-10-09,31
Nike,2020-10-10,10
Nike,2020-10-11,9
Nike,2020-10-12,22
Nike,2020-10-13,17
Nike,2020-10-14,12
Nike,2020-10-15,24
Nike,2020-10-16,22
Nike,2020-10-17,12
Nike,2020-10-18,14
Nike,2020-10-19,34
Nike,2020-10-20,25
Nike,2020-10-21,32
Nike,2020-10-22,27
Nike,2020-10-23,31
Nike,2020-10-24,7
Nike,2020-10-25,13
Nike,2020-10-26,19
Nike,2020-10-27,25
Nike,2020-10-28,25
Nike,2020-10-29,13
Nike,2020-10-30,42
Nike,2020-10-31,12
Nike,2020-11-01,3
Nike,2020-11-02,14
Nike,2020-11-03,25
Nike,2020-11-04,13
Nike,2020-11-05,17
Nike,2020-11-06,20
Nike,2020-11-07,12
Nike,2020-11-08,11
Nike,2020-11-09,25
Nike,2020-11-10,21
Nike,2020-11-11,23
Nike,2020-11-12,55
Nike,2020-11-13,19
Nike,2020-11-14,6
Nike,2020-11-15,13
Nike,2020-11-16,25
Nike,2020-11-17,41
Nike,2020-11-18,23
Nike,2020-11-19,27
Nike,2020-11-20,65
Nike,2020-11-21,13
Nike,2020-11-22,11
Nike,2020-11-23,25
Nike,2020-11-24,31
Nike,2020-11-25,21
Nike,2020-11-26,11
Nike,2020-11-27,20
Nike,2020-11-28,13
Nike,2020-11-29,7
Nike,2020-11-30,26
Nike,2020-12-01,31
Nike,2020-12-02,42
Nike,2020-12-03,25
Nike,2020-12-04,27
Nike,2020-12-05,15
Nike,2020-12-06,5
Nike,2020-12-07,32
Nike,2020-12-08,38
Nike,2020-12-09,32
Nike,2020-12-10,36
Nike,2020-12-11,45
Nike,2020-12-12,14
Nike,2020-12-13,23
Nike,2020-12-14,50
Nike,2020-12-15,79
Nike,2020-12-16,69
Nike,2020-12-17,94
Nike,2020-12-18,459
Nike,2020-12-19,88
Nike,2020-12-20,40
Nike,2020-12-21,237
Nike,2020-12-22,56
Nike,2020-12-23,49
Nike,2020-12-24,38
Nike,2020-12-25,4
Nike,2020-12-26,5
Nike,2020-12-27,10
Nike,2020-12-28,32
Nike,2020-12-29,38
Nike,2020-12-30,36
Nike,2020-12-31,39
Nike,2021-01-01,9
Nike,2021-01-02,8
Nike,2021-01-03,11
Nike,2021-01-04,23
Nike,2021-01-05,23
Nike,2021-01-06,32
Nike,2021-01-07,25
Nike,2021-01-08,15
Nike,2021-01-09,24
Nike,2021-01-10,14
Nike,2021-01-11,20
Nike,2021-01-12,23
Nike,2021-01-13,22
Nike,2021-01-14,24
Nike,2021-01-15,34
Nike,2021-01-16,9
Nike,2021-01-17,12
Nike,2021-01-18,12
Nike,2021-01-19,29
Nike,2021-01-20,30
Nike,2021-01-21,19
Nike,2021-01-22,19
Nike,2021-01-23,9
Nike,2021-01-24,10
Nike,2021-01-25,35
Nike,2021-01-26,36
Nike,2021-01-27,42
Nike,2021-01-28,39
Nike,2021-01-29,28
Nike,2021-01-30,7
Nike,2021-01-31,13
Nike,2021-02-01,31
Nike,2021-02-02,43
Nike,2021-02-03,27
Nike,2021-02-04,33
Nike,2021-02-05,44
Nike,2021-02-06,18
Nike,2021-02-07,30
Nike,2021-02-08,38
Nike,2021-02-09,24
Nike,2021-02-10,31
Nike,2021-02-11,39
Nike,2021-02-12,23
Nike,2021-02-13,11
Nike,2021-02-14,18
Nike,2021-02-15,14
Nike,2021-02-16,25
Nike,2021-02-17,27
Nike,2021-02-18,46
Nike,2021-02-19,39
Nike,2021-02-20,9
Nike,2021-02-21,34
Nike,2021-02-22,26
Nike,2021-02-23,41
Nike,2021-02-24,38
Nike,2021-02-25,42
Nike,2021-02-26,33
Nike,2021-02-27,13
Nike,2021-02-28,4
Nike,2021-03-01,38
Nike,2021-03-02,40
Nike,2021-03-03,26
Nike,2021-03-04,38
Nike,2021-03-05,19
Nike,2021-03-06,11
Nike,2021-03-07,9
