brand,Date,tweets_count
HM,2020-03-30,1024
HM,2020-04-06,1023
HM,2020-04-13,1148
HM,2020-04-20,1196
HM,2020-04-27,1226
HM,2020-05-04,1426
HM,2020-05-11,1153
HM,2020-05-18,1350
HM,2020-05-25,1356
HM,2020-06-01,1230
HM,2020-06-08,1309
HM,2020-06-15,1275
HM,2020-06-22,1232
HM,2020-06-29,1064
HM,2020-07-06,1058
HM,2020-07-13,1219
HM,2020-07-20,1139
HM,2020-07-27,1187
HM,2020-08-03,1217
HM,2020-08-10,1196
HM,2020-08-17,1219
HM,2020-08-24,1219
HM,2020-08-31,1225
HM,2020-09-07,1148
HM,2020-09-14,1285
HM,2020-09-21,1178
HM,2020-09-28,1204
HM,2020-10-05,1199
HM,2020-10-12,1164
HM,2020-10-19,1198
HM,2020-10-26,1101
Nike,2019-07-01,18778
Nike,2019-07-08,14167
Nike,2019-07-15,10711
Nike,2019-07-22,11154
Nike,2019-07-29,10661
Nike,2019-08-05,10573
Nike,2019-08-12,11345
Nike,2019-08-19,10153
Nike,2019-08-26,11741
Nike,2019-09-02,10130
Nike,2019-09-09,10368
Nike,2019-09-16,10639
Nike,2019-09-23,10164
Nike,2019-09-30,10060
Nike,2019-10-07,11796
Nike,2019-10-14,11963
Nike,2019-10-21,11701
Nike,2019-10-28,10121
Nike,2019-11-04,9672
Nike,2019-11-11,7931
Nike,2019-11-18,7695
Nike,2019-11-25,7186
Nike,2019-12-02,7119
Nike,2019-12-09,7460
Nike,2019-12-16,6737
Nike,2019-12-23,6044
Nike,2019-12-30,2862
Nike,2020-00,4039
Nike,2020-01-06,7722
Nike,2020-01-13,8198
Nike,2020-01-20,9420
Nike,2020-01-27,10502
Nike,2020-02-03,10788
Nike,2020-02-10,10670
Nike,2020-02-17,10114
Nike,2020-02-24,10815
Nike,2020-03-02,10891
Nike,2020-03-09,10395
Nike,2020-03-16,10064
Nike,2020-03-23,10954
Nike,2020-03-30,9531
Nike,2020-04-06,10142
Nike,2020-04-13,10098
Nike,2020-04-20,10638
Nike,2020-04-27,10547
Nike,2020-05-04,11229
Nike,2020-05-11,11068
Nike,2020-05-18,11524
Nike,2020-05-25,12172
Nike,2020-06-01,11794
Nike,2020-06-08,12950
Nike,2020-06-15,10794
Nike,2020-06-22,11533
Nike,2020-06-29,11341
Nike,2020-07-06,11785
Nike,2020-07-13,11667
Nike,2020-07-20,12321
Nike,2020-07-27,15776
Nike,2020-08-03,13882
Nike,2020-08-10,12780
Nike,2020-08-17,12103
Nike,2020-08-24,12114
Nike,2020-08-31,12992
Nike,2020-09-07,11267
Nike,2020-09-14,10007
Nike,2020-09-21,10303
Nike,2020-09-28,9577
Nike,2020-10-05,9416
Nike,2020-10-12,9139
Nike,2020-10-19,9706
Nike,2020-10-26,9009
Starbucks,2019-07-01,3512
Starbucks,2019-07-08,5140
Starbucks,2019-07-15,3368
Starbucks,2019-07-22,3567
Starbucks,2019-07-29,3399
Starbucks,2019-08-05,3261
Starbucks,2019-08-12,3114
Starbucks,2019-08-19,3029
Starbucks,2019-08-26,4323
Starbucks,2019-09-02,3746
Starbucks,2019-09-09,3545
Starbucks,2019-09-16,3515
Starbucks,2019-09-23,3760
Starbucks,2019-09-30,3762
Starbucks,2019-10-07,3794
Starbucks,2019-10-14,3551
Starbucks,2019-10-21,3590
Starbucks,2019-10-28,3872
Starbucks,2019-11-04,5298
Starbucks,2019-11-11,3765
Starbucks,2019-11-18,3357
Starbucks,2019-11-25,3229
Starbucks,2019-12-02,3375
Starbucks,2019-12-09,11698
Starbucks,2019-12-16,3305
Starbucks,2019-12-23,2733
Starbucks,2019-12-30,1235
Starbucks,2020-00,1529
Starbucks,2020-01-06,2796
Starbucks,2020-01-13,2980
Starbucks,2020-01-20,3177
Starbucks,2020-01-27,3265
Starbucks,2020-02-03,3247
Starbucks,2020-02-10,3243
Starbucks,2020-02-17,3259
Starbucks,2020-02-24,3556
Starbucks,2020-03-02,3769
Starbucks,2020-03-09,3042
Starbucks,2020-03-16,4078
Starbucks,2020-03-23,2673
Starbucks,2020-03-30,1973
Starbucks,2020-04-06,1808
Starbucks,2020-04-13,1825
Starbucks,2020-04-20,1874
Starbucks,2020-04-27,1937
Starbucks,2020-05-04,2097
Starbucks,2020-05-11,2074
Starbucks,2020-05-18,2763
Starbucks,2020-05-25,2555
Starbucks,2020-06-01,2734
Starbucks,2020-06-08,6239
Starbucks,2020-06-15,2660
Starbucks,2020-06-22,2712
Starbucks,2020-06-29,3028
Starbucks,2020-07-06,2793
Starbucks,2020-07-13,2505
Starbucks,2020-07-20,2590
Starbucks,2020-07-27,2741
Starbucks,2020-08-03,2497
Starbucks,2020-08-10,2433
Starbucks,2020-08-17,2644
Starbucks,2020-08-24,3281
Starbucks,2020-08-31,3177
Starbucks,2020-09-07,2603
Starbucks,2020-09-14,2595
Starbucks,2020-09-21,2943
Starbucks,2020-09-28,3013
Starbucks,2020-10-05,2518
Starbucks,2020-10-12,2689
Starbucks,2020-10-19,2434
Starbucks,2020-10-26,2339
