"country" "country_code" "continent" "population" "year_week" "weekly_count_cases" "rate_14_day_cases" "cumulative_count_cases" "weekly_count_deaths" "rate_14_day_deaths" "cumulative_count_deaths" "NKE - Open" "NKE - High" "NKE - Low" "NKE - Close" "NKE - Adj.Close" "NKE - Volume" "AAPL - Open" "AAPL - High" "AAPL - Low" "AAPL - Close" "AAPL - Adj.Close" "AAPL - Volume" "HNNMY - Open" "HNNMY - High" "HNNMY - Low" "HNNMY - Close" "HNNMY - Adj.Close" "HNNMY - Volume" "KO - Open" "KO - High" "KO - Low" "KO - Close" "KO - Adj.Close" "KO - Volume" "SBUX - Open" "SBUX - High" "SBUX - Low" "SBUX - Close" "SBUX - Adj.Close" "SBUX - Volume" "PEP - Open" "PEP - High" "PEP - Low" "PEP - Close" "PEP - Adj.Close" "PEP - Volume"
"United States" "USA" "America" 331002647 "2020-06" 1 0.002114787 12 0 0 0 100.6760012 101.5199998 99.6980012 100.1799988 99.032965 6431840 79.4034988 80.3255004 78.6530012 79.7100008 78.9471972 130507680 209.7 210.6 206.7800018 207.7600036 207.7600036 3218744.8 58.8520006 59.2320008 58.6739996 58.8900002 56.4713914 11454880 86.9 87.8619996 85.9580004 86.9039994 85.023471 9209540 143.7099976 144.548001 143.0540008 143.9459992 138.7619264 3537380
"United States" "USA" "America" 331002647 "2020-07" 3 0.00120845 15 0 0 0 101.214 102.3139998 100.6020002 101.9899996 100.8222412 5370680 80.4089998 81.2434996 80.0115008 80.9089996 80.28665 98452720 203.3 204.9100006 201.1779998 203.8 203.8 4120459.6 59.5060006 59.8639998 59.3519998 59.6620004 57.2116836 8546780 88.136 89.174002 87.631999 88.564 86.809175 6879820 146.128 146.7600006 144.9620024 146.2560028 140.9887394 4092100
"United States" "USA" "America" 331002647 "2020-08" 20 0.006948585 35 0 0 0 102.53000075 102.86999875 101.05500025 101.8099995 100.64429875 5823800 79.788124 80.58875075 78.9574985 79.74812325 79.13470625 119158800 203.6100036 205.249997 202.1400024 203.45 203.45 2834646.8 59.62749925 59.9800005 59.36500075 59.78750025 57.33202825 8695250 89.147501 89.6375005 88.08000175 88.83250025 87.0723535 5567325 145.8899995 146.3499985 144.9124985 145.53500375 140.29369725 3748800
"United States" "USA" "America" 331002647 "2020-09" 54 0.022356317 89 2 0.006042248 2 92.2 94.2020006 90.7020006 91.7480012 90.7465364 11333220 71.1550018 73.45 69.5595002 71.2894972 70.7411422 279682800 187.6240022 188.8799988 181.1560028 183.7600006 183.7600006 6465042.4 57.3540012 57.8499998 56.0260004 56.4980004 54.177629 22162840 81.4299988 82.864 79.9300002 80.8199996 79.2186144 12900020 141.1080016 142.4339996 137.7900026 138.823999 133.824385 8307940
"United States" "USA" "America" 331002647 "2020-10" 465 0.156796329 554 19 0.063443601 21 90.8080002 92.6020002 89.0279998 91.2680008 90.4733248 11392300 72.9955002 74.9604996 71.4645004 73.6410004 73.0745576 258760160 175.603998 177.5079986 170.872 173.3280028 173.3280028 5738585.2 55.9679992 57.3059998 55.1839998 56.5799994 54.2562622 22725260 78.1740006 79.768001 76.1960008 78.4359982 76.8818514 13655920 135.15 139.948001 134.1179992 138.1820008 133.563983 7640500
"United States" "USA" "America" 331002647 "2020-11" 3220 1.113284148 3774 48 0.2024153 69 81.8020002 83.2919984 78.1259994 81.2380006 80.5306582 17119000 66.9555026 69.7835006 65.2589988 67.6569998 67.1365884 323367920 149.2399964 154.8960022 143.5960024 146.8359986 146.8359986 9003378 51.1339994 51.9040008 49.4179994 50.6720002 48.6724298 28723980 68.914001 72.0439988 66.496 69.2040008 67.8327788 19180020 127.1179992 130.6100004 122.2659974 127.3679992 123.6100126 9851200
"United States" "USA" "America" 331002647 "2020-12" 31432 10.46879846 35206 402 1.359505744 471 67.226001 72.2800004 63.424 68.4919982 67.8956376 17307340 61.1899994 63.5679984 59.3064994 60.7880006 60.3204224 324052720 115.2400008 119.7199996 107.5020002 113.423999 113.423999 9841163.2 43.8340014 45.4520006 41.3359992 43.4839994 42.0638076 37933540 58.8519996 62.0520006 54.6400002 58.6680002 57.5055406 26151620 118.3799986 123.987999 111.9279984 116.5999982 113.1597184 12542620
"United States" "USA" "America" 331002647 "2020-13" 107819 42.06945209 143025 2038 7.371542258 2509 74.5359986 79.1259996 72.0600006 76.3340018 75.6693582 18995380 60.7230002 62.4494996 59.2310006 61.1475006 60.6771604 276838000 122.6919998 126.428 117.687999 123.7959992 123.7959992 8344757.8 41.422 42.6080002 39.972001 41.144001 39.8002334 39541200 64.0120004 66.4140008 61.9120004 64.6959984 63.4140982 23223440 111.9899994 118.0220018 110.7700014 114.4479994 111.0712158 11017720
"United States" "USA" "America" 331002647 "2020-14" 194610 91.36754728 337635 7138 27.72183269 9647 81.3959992 82.8520002 79.5000018 81.2699996 80.562381 10309940 61.7990006 62.8789992 60.8199994 61.8174994 61.3420044 167402160 124.676001 126.4779998 118.5899994 120.4820006 120.4820006 11019118.8 43.2780008 44.65 42.8140006 43.8300004 42.398509 20517060 65.3919998 66.95 63.0560008 64.8539994 63.5689682 16008280 120.8460006 124.8779998 119.1260008 122.4300002 118.8177096 6523060
"United States" "USA" "America" 331002647 "2020-15" 219936 125.2394818 557571 12461 59.21100685 22108 85.5 86.7675 83.50250075 85.22000125 84.4779835 9037725 65.821249 67.015625 64.64437675 65.9974995 65.489851 183929800 131.124998 137.1625005 128.449997 133.67499925 133.67499925 7549406.5 47.24249925 48.357499 46.46249975 47.499999 45.9486435 20558500 69.654999 71.74999975 67.8550015 70.48749925 69.090847 15499350 130.7750015 133.8950005 129.0549985 131.9700015 128.076229 6309900
