,brand,Date,trend
200,Starbucks,2020-05-25,0.625
201,Starbucks,2020-06-01,0.819672131147541
202,Starbucks,2020-06-08,0.4330357142857143
203,Starbucks,2020-06-15,0.6546762589928058
204,Starbucks,2020-06-22,0.574468085106383
205,Starbucks,2020-06-29,0.7528089887640449
206,Starbucks,2020-07-06,0.7741935483870968
207,Starbucks,2020-07-13,0.6704545454545454
208,Starbucks,2020-07-20,0.8690476190476191
209,Starbucks,2020-07-27,0.5559440559440559
210,Starbucks,2020-08-03,0.7857142857142857
211,Starbucks,2020-08-10,0.8588235294117647
212,Starbucks,2020-08-17,0.7567567567567568
213,Starbucks,2020-08-24,0.8715083798882681
214,Starbucks,2020-08-31,0.9459459459459459
215,Starbucks,2020-09-07,0.7027027027027027
216,Starbucks,2020-09-14,0.6690647482014388
217,Starbucks,2020-09-21,0.825
218,Starbucks,2020-09-28,0.9705882352941176
219,Starbucks,2020-10-05,0.9351851851851852
220,Starbucks,2020-10-12,0.9473684210526315
221,Starbucks,2020-10-19,0.9423076923076923
222,Starbucks,2020-10-26,0.7373737373737373
223,Starbucks,2020-11-02,0.8709677419354839
224,Starbucks,2020-11-09,0.7831325301204819
225,Starbucks,2020-11-16,0.7
226,Starbucks,2020-11-23,0.8809523809523809
227,Starbucks,2020-11-30,0.8775510204081632
228,Starbucks,2020-12-07,0.924901185770751
229,Starbucks,2020-12-14,0.8985507246376812
230,Starbucks,2020-12-21,0.9104477611940298
231,Starbucks,2020-12-28,0.9859154929577465
232,Starbucks,2021-01-04,0.8873239436619719
233,Starbucks,2021-01-11,0.9365079365079365
234,Starbucks,2021-01-18,0.7833333333333333
235,Starbucks,2021-01-25,0.8917910447761194
236,Starbucks,2021-02-01,0.7972027972027972
237,Starbucks,2021-02-08,0.8936170212765957
238,Starbucks,2021-02-15,0.9166666666666666
239,Starbucks,2021-02-22,0.97
240,Starbucks,2021-03-01,0.9534883720930233
