brand,date_axis,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_neg_perc,sentiment_pos_perc
HM,2020-05-31,0.010186682995547217,0.7342072743837301,0.25560291116482303,3.83,96.17
HM,2020-06-30,0.013520355917920853,0.7348932468855867,0.2515871093259357,5.1,94.9
HM,2020-07-31,0.009216972289452445,0.742416760823039,0.24836470557450466,3.58,96.42
HM,2020-08-31,0.00973626656689191,0.7335138054681893,0.25674612257837875,3.65,96.35
HM,2020-09-30,0.008246937390512054,0.7376098571848737,0.2541449432644954,3.14,96.86
HM,2020-10-31,0.009669243367386449,0.7397413007007086,0.25058878604112844,3.72,96.28
Nike,2019-07-31,0.01668140868140868,0.8161244881244881,0.16718918918918918,9.07,90.93
Nike,2019-08-31,0.01687361011170938,0.8271566555689879,0.15596918462789497,9.76,90.24
Nike,2019-09-30,0.01630960212969076,0.8266206445553514,0.15706884090505868,9.41,90.59
Nike,2019-10-31,0.0216711866782437,0.835674563657364,0.1426528665848267,13.19,86.81
Nike,2019-11-30,0.025713622388504585,0.8716385065580515,0.10264725193826692,20.03,79.97
Nike,2019-12-31,0.027022353671710138,0.8826339336503136,0.09034233682936334,23.02,76.98
Nike,2020-01-31,0.025840137439274644,0.8702117096895683,0.10394688017669929,19.91,80.09
Nike,2020-02-29,0.01831815723100821,0.81785280374602,0.16382784037180548,10.06,89.94
Nike,2020-03-31,0.016451755415308637,0.8202063939848624,0.16334157385631592,9.15,90.85
Nike,2020-04-30,0.01667706027240328,0.822966368417378,0.16035506443542663,9.42,90.58
Nike,2020-05-31,0.021184689303495177,0.8258588671181278,0.15295472698106496,12.17,87.83
Nike,2020-06-30,0.021914657715969645,0.8223300930868194,0.1557561702538083,12.33,87.67
Nike,2020-07-31,0.02484835388244439,0.8298297401427921,0.14531735850610944,14.6,85.4
Nike,2020-08-31,0.02165026618291525,0.8271702653514048,0.15117758267143136,12.53,87.47
Nike,2020-09-30,0.01749163376332395,0.8276692564634763,0.15483985099632724,10.15,89.85
Nike,2020-10-31,0.018179214721314348,0.8195610750614191,0.16225904509172828,10.08,89.92
Starbucks,2019-07-31,0.027780185758513935,0.8355232198142416,0.1366934984520124,16.89,83.11
Starbucks,2019-08-31,0.0314076592544883,0.8364591431789127,0.132131374264999,19.2,80.8
Starbucks,2019-09-30,0.029399086753377126,0.8343406262262776,0.13625808879716256,17.75,82.25
Starbucks,2019-10-31,0.03091524720475424,0.8127897413614503,0.15629073209691008,16.51,83.49
Starbucks,2019-11-30,0.031142136541054577,0.8199198301941025,0.14893495417578956,17.29,82.71
Starbucks,2019-12-31,0.032690833458462985,0.8149469937737782,0.15236337681321965,17.67,82.33
Starbucks,2020-01-31,0.028312167939897385,0.8299355903995719,0.14175120647865197,16.65,83.35
Starbucks,2020-02-29,0.030260214596596634,0.8108696559811343,0.15886927828278893,16.0,84.0
Starbucks,2020-03-31,0.0410867056042171,0.8343539377568281,0.12455845971007475,24.8,75.2
Starbucks,2020-04-30,0.033840938782665336,0.8360027915791941,0.1301584458969633,20.63,79.37
Starbucks,2020-05-31,0.028959646511675426,0.8306270528087197,0.14041246843632857,17.1,82.9
Starbucks,2020-06-30,0.043282706006245966,0.828457183630484,0.128259017270457,25.23,74.77
Starbucks,2020-07-31,0.03418287459658022,0.8291838785460671,0.13663340012147457,20.01,79.99
Starbucks,2020-08-31,0.029398774201181536,0.8422878644285796,0.12831189917818694,18.64,81.36
Starbucks,2020-09-30,0.03199446068989637,0.8325850075824038,0.13542417281855176,19.11,80.89
Starbucks,2020-10-31,0.03159460541559201,0.8283896673134746,0.1400227236120331,18.41,81.59
